,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
59,60,0.71,0.6351931330472103,0.9866666666666667,tensor(0.9867),tensor(0.5667),148,85,65,2
60,61,0.71,0.6351931330472103,0.9866666666666667,tensor(0.9867),tensor(0.5667),148,85,65,2
61,62,0.7133333333333334,0.6379310344827587,0.9866666666666667,tensor(0.9867),tensor(0.5600),148,84,66,2
62,63,0.7166666666666667,0.6406926406926406,0.9866666666666667,tensor(0.9867),tensor(0.5533),148,83,67,2
63,64,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
64,65,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
65,66,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
66,67,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
67,68,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
68,69,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
69,70,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
70,71,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
71,72,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
72,73,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
73,74,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
74,75,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
75,76,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
76,77,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
77,78,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
78,79,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
79,80,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
80,81,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
81,82,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
82,83,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
83,84,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
84,85,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
85,86,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
86,87,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
87,88,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
88,89,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
89,90,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
90,91,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
91,92,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
92,93,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
93,94,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
94,95,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
95,96,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
96,97,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
97,98,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
98,99,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
99,100,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
100,101,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
101,102,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
102,103,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
103,104,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
104,105,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
105,106,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
106,107,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
107,108,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
108,109,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
109,110,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
110,111,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
111,112,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
112,113,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
113,114,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
114,115,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
115,116,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
116,117,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
117,118,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
118,119,0.7166666666666667,0.6406926406926406,0.9866666666666667,tensor(0.9867),tensor(0.5533),148,83,67,2
119,120,0.7166666666666667,0.6406926406926406,0.9866666666666667,tensor(0.9867),tensor(0.5533),148,83,67,2
120,121,0.7166666666666667,0.6406926406926406,0.9866666666666667,tensor(0.9867),tensor(0.5533),148,83,67,2
121,122,0.7166666666666667,0.6406926406926406,0.9866666666666667,tensor(0.9867),tensor(0.5533),148,83,67,2
122,123,0.7166666666666667,0.6406926406926406,0.9866666666666667,tensor(0.9867),tensor(0.5533),148,83,67,2
123,124,0.7166666666666667,0.6406926406926406,0.9866666666666667,tensor(0.9867),tensor(0.5533),148,83,67,2
124,125,0.7166666666666667,0.6406926406926406,0.9866666666666667,tensor(0.9867),tensor(0.5533),148,83,67,2
125,126,0.7166666666666667,0.6406926406926406,0.9866666666666667,tensor(0.9867),tensor(0.5533),148,83,67,2
126,127,0.7166666666666667,0.6406926406926406,0.9866666666666667,tensor(0.9867),tensor(0.5533),148,83,67,2
127,128,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
