,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.4766666666666667,0.23076923076923078,0.02,0.08666666666666667,0.15333333333333332,3.0,10.0,140.0,147.0
1,2.0,0.47,0.3333333333333333,0.06,0.05333333333333334,0.12,9.0,18.0,132.0,141.0
2,3.0,0.47,0.37142857142857144,0.08666666666666667,0.06,0.12666666666666668,13.0,22.0,128.0,137.0
3,4.0,0.4866666666666667,0.46875,0.2,0.16666666666666666,0.17333333333333334,30.0,34.0,116.0,120.0
4,5.0,0.48,0.4659090909090909,0.2733333333333333,0.26,0.32666666666666666,41.0,47.0,103.0,109.0
5,6.0,0.51,0.5135135135135135,0.38,0.36666666666666664,0.4266666666666667,57.0,54.0,96.0,93.0
6,7.0,0.5466666666666666,0.5538461538461539,0.48,0.5133333333333333,0.46,72.0,58.0,92.0,78.0
7,8.0,0.5433333333333333,0.5424836601307189,0.5533333333333333,0.5866666666666667,0.5333333333333333,83.0,70.0,80.0,67.0
8,9.0,0.5766666666666667,0.5664739884393064,0.6533333333333333,0.64,0.62,98.0,75.0,75.0,52.0
9,10.0,0.5933333333333334,0.574468085106383,0.72,0.6866666666666666,0.6666666666666666,108.0,80.0,70.0,42.0
10,11.0,0.5766666666666667,0.558974358974359,0.7266666666666667,0.7133333333333334,0.66,109.0,86.0,64.0,41.0
11,12.0,0.5833333333333334,0.5621890547263682,0.7533333333333333,0.76,0.68,113.0,88.0,62.0,37.0
12,13.0,0.6033333333333334,0.5720930232558139,0.82,0.7933333333333333,0.7066666666666667,123.0,92.0,58.0,27.0
13,14.0,0.6166666666666667,0.5806451612903226,0.84,0.84,0.7133333333333334,126.0,91.0,59.0,24.0
14,15.0,0.6133333333333333,0.5758928571428571,0.86,0.8533333333333334,0.74,129.0,95.0,55.0,21.0
15,16.0,0.64,0.59375,0.8866666666666667,0.8666666666666667,0.7266666666666667,133.0,91.0,59.0,17.0
16,17.0,0.64,0.59375,0.8866666666666667,0.8733333333333333,0.7333333333333333,133.0,91.0,59.0,17.0
17,18.0,0.6366666666666667,0.5911111111111111,0.8866666666666667,0.8933333333333333,0.7533333333333333,133.0,92.0,58.0,17.0
18,19.0,0.6366666666666667,0.5903083700440529,0.8933333333333333,0.8933333333333333,0.76,134.0,93.0,57.0,16.0
19,20.0,0.64,0.591304347826087,0.9066666666666666,0.9,0.7733333333333333,136.0,94.0,56.0,14.0
20,21.0,0.6433333333333333,0.5907172995780591,0.9333333333333333,0.9066666666666666,0.7666666666666667,140.0,97.0,53.0,10.0
21,22.0,0.64,0.5875,0.94,0.92,0.74,141.0,99.0,51.0,9.0
22,23.0,0.6466666666666666,0.5916666666666667,0.9466666666666667,0.8933333333333333,0.7666666666666667,142.0,98.0,52.0,8.0
23,24.0,0.6266666666666667,0.576,0.96,0.8866666666666667,0.74,144.0,106.0,44.0,6.0
24,25.0,0.6266666666666667,0.5753968253968254,0.9666666666666667,0.92,0.78,145.0,107.0,43.0,5.0
25,26.0,0.62,0.5703125,0.9733333333333334,0.9333333333333333,0.78,146.0,110.0,40.0,4.0
26,27.0,0.62,0.5703125,0.9733333333333334,0.94,0.8066666666666666,146.0,110.0,40.0,4.0
27,28.0,0.6233333333333333,0.5714285714285714,0.9866666666666667,0.96,0.8066666666666666,148.0,111.0,39.0,2.0
28,29.0,0.6233333333333333,0.5708812260536399,0.9933333333333333,0.9466666666666667,0.8133333333333334,149.0,112.0,38.0,1.0
29,30.0,0.6033333333333334,0.5584905660377358,0.9866666666666667,0.9533333333333334,0.8,148.0,117.0,33.0,2.0
