,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
60,61,0.6866666666666666,0.6206896551724138,0.96,tensor(0.9600),tensor(0.5867),144,88,62,6
61,62,0.69,0.6223175965665236,0.9666666666666667,tensor(0.9667),tensor(0.5867),145,88,62,5
62,63,0.71,0.6387665198237885,0.9666666666666667,tensor(0.9667),tensor(0.5467),145,82,68,5
63,64,0.6966666666666667,0.62882096069869,0.96,tensor(0.9600),tensor(0.5667),144,85,65,6
64,65,0.6933333333333334,0.625,0.9666666666666667,tensor(0.9667),tensor(0.5800),145,87,63,5
65,66,0.7033333333333334,0.6320346320346321,0.9733333333333334,tensor(0.9733),tensor(0.5667),146,85,65,4
66,67,0.7033333333333334,0.6320346320346321,0.9733333333333334,tensor(0.9733),tensor(0.5667),146,85,65,4
67,68,0.7,0.6293103448275862,0.9733333333333334,tensor(0.9733),tensor(0.5733),146,86,64,4
68,69,0.7,0.6293103448275862,0.9733333333333334,tensor(0.9733),tensor(0.5733),146,86,64,4
69,70,0.71,0.6375545851528385,0.9733333333333334,tensor(0.9733),tensor(0.5533),146,83,67,4
70,71,0.7,0.6293103448275862,0.9733333333333334,tensor(0.9733),tensor(0.5733),146,86,64,4
71,72,0.7033333333333334,0.6320346320346321,0.9733333333333334,tensor(0.9733),tensor(0.5667),146,85,65,4
72,73,0.7,0.6293103448275862,0.9733333333333334,tensor(0.9733),tensor(0.5733),146,86,64,4
73,74,0.7133333333333334,0.6403508771929824,0.9733333333333334,tensor(0.9733),tensor(0.5467),146,82,68,4
74,75,0.7,0.6304347826086957,0.9666666666666667,tensor(0.9667),tensor(0.5667),145,85,65,5
75,76,0.7033333333333334,0.6331877729257642,0.9666666666666667,tensor(0.9667),tensor(0.5600),145,84,66,5
76,77,0.7,0.6304347826086957,0.9666666666666667,tensor(0.9667),tensor(0.5667),145,85,65,5
77,78,0.7133333333333334,0.6415929203539823,0.9666666666666667,tensor(0.9667),tensor(0.5400),145,81,69,5
78,79,0.7133333333333334,0.6415929203539823,0.9666666666666667,tensor(0.9667),tensor(0.5400),145,81,69,5
79,80,0.7133333333333334,0.6403508771929824,0.9733333333333334,tensor(0.9733),tensor(0.5467),146,82,68,4
80,81,0.7133333333333334,0.6403508771929824,0.9733333333333334,tensor(0.9733),tensor(0.5467),146,82,68,4
81,82,0.71,0.6387665198237885,0.9666666666666667,tensor(0.9667),tensor(0.5467),145,82,68,5
82,83,0.7133333333333334,0.6403508771929824,0.9733333333333334,tensor(0.9733),tensor(0.5467),146,82,68,4
83,84,0.7266666666666667,0.6531531531531531,0.9666666666666667,tensor(0.9667),tensor(0.5133),145,77,73,5
84,85,0.7266666666666667,0.6517857142857143,0.9733333333333334,tensor(0.9733),tensor(0.5200),146,78,72,4
85,86,0.7233333333333334,0.645021645021645,0.9933333333333333,tensor(0.9933),tensor(0.5467),149,82,68,1
86,87,0.7166666666666667,0.6394849785407726,0.9933333333333333,tensor(0.9933),tensor(0.5600),149,84,66,1
87,88,0.71,0.6375545851528385,0.9733333333333334,tensor(0.9733),tensor(0.5533),146,83,67,4
88,89,0.7133333333333334,0.6391304347826087,0.98,tensor(0.9800),tensor(0.5533),147,83,67,3
89,90,0.7133333333333334,0.6403508771929824,0.9733333333333334,tensor(0.9733),tensor(0.5467),146,82,68,4
90,91,0.7133333333333334,0.6391304347826087,0.98,tensor(0.9800),tensor(0.5533),147,83,67,3
91,92,0.7133333333333334,0.6403508771929824,0.9733333333333334,tensor(0.9733),tensor(0.5467),146,82,68,4
92,93,0.7133333333333334,0.6403508771929824,0.9733333333333334,tensor(0.9733),tensor(0.5467),146,82,68,4
93,94,0.7133333333333334,0.6403508771929824,0.9733333333333334,tensor(0.9733),tensor(0.5467),146,82,68,4
94,95,0.7366666666666667,0.6591928251121076,0.98,tensor(0.9800),tensor(0.5067),147,76,74,3
95,96,0.7166666666666667,0.6431718061674009,0.9733333333333334,tensor(0.9733),tensor(0.5400),146,81,69,4
96,97,0.7266666666666667,0.6517857142857143,0.9733333333333334,tensor(0.9733),tensor(0.5200),146,78,72,4
97,98,0.7166666666666667,0.6431718061674009,0.9733333333333334,tensor(0.9733),tensor(0.5400),146,81,69,4
98,99,0.7266666666666667,0.6517857142857143,0.9733333333333334,tensor(0.9733),tensor(0.5200),146,78,72,4
99,100,0.7233333333333334,0.6488888888888888,0.9733333333333334,tensor(0.9733),tensor(0.5267),146,79,71,4
100,101,0.74,0.6636363636363637,0.9733333333333334,tensor(0.9733),tensor(0.4933),146,74,76,4
101,102,0.7266666666666667,0.6531531531531531,0.9666666666666667,tensor(0.9667),tensor(0.5133),145,77,73,5
102,103,0.7333333333333333,0.6590909090909091,0.9666666666666667,tensor(0.9667),tensor(0.5000),145,75,75,5
103,104,0.7333333333333333,0.6576576576576577,0.9733333333333334,tensor(0.9733),tensor(0.5067),146,76,74,4
104,105,0.7433333333333333,0.665158371040724,0.98,tensor(0.9800),tensor(0.4933),147,74,76,3
105,106,0.73,0.6547085201793722,0.9733333333333334,tensor(0.9733),tensor(0.5133),146,77,73,4
106,107,0.74,0.6592920353982301,0.9933333333333333,tensor(0.9933),tensor(0.5133),149,77,73,1
107,108,0.73,0.6533333333333333,0.98,tensor(0.9800),tensor(0.5200),147,78,72,3
108,109,0.7333333333333333,0.6548672566371682,0.9866666666666667,tensor(0.9867),tensor(0.5200),148,78,72,2
109,110,0.7333333333333333,0.65625,0.98,tensor(0.9800),tensor(0.5133),147,77,73,3
110,111,0.73,0.6533333333333333,0.98,tensor(0.9800),tensor(0.5200),147,78,72,3
111,112,0.7233333333333334,0.6475770925110133,0.98,tensor(0.9800),tensor(0.5333),147,80,70,3
112,113,0.7233333333333334,0.6475770925110133,0.98,tensor(0.9800),tensor(0.5333),147,80,70,3
113,114,0.7233333333333334,0.6475770925110133,0.98,tensor(0.9800),tensor(0.5333),147,80,70,3
114,115,0.7233333333333334,0.6475770925110133,0.98,tensor(0.9800),tensor(0.5333),147,80,70,3
115,116,0.7233333333333334,0.6475770925110133,0.98,tensor(0.9800),tensor(0.5333),147,80,70,3
116,117,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
117,118,0.73,0.6533333333333333,0.98,tensor(0.9800),tensor(0.5200),147,78,72,3
118,119,0.7266666666666667,0.6504424778761062,0.98,tensor(0.9800),tensor(0.5267),147,79,71,3
119,120,0.72,0.6447368421052632,0.98,tensor(0.9800),tensor(0.5400),147,81,69,3
120,121,0.7166666666666667,0.6419213973799127,0.98,tensor(0.9800),tensor(0.5467),147,82,68,3
