,epoch,participant,test_loss,test_accuracy,train_accuracy
0,0.0,g,0.053167194631454105,0.03800675675675676,0.0
1,0.0,0.0,0.053111928914274485,0.05580357142857143,0.0
2,0.0,1.0,0.05319267564586231,0.044642857142857144,0.0
3,0.0,2.0,0.053159818585429876,0.03794642857142857,0.0
4,0.0,3.0,0.053180107048579624,0.03571428571428571,0.0
5,0.0,4.0,0.053199474300657,0.020089285714285716,0.0
6,1.0,0.0,0.052349548254694254,0.05580357142857143,0.07589285714285714
7,1.0,1.0,0.052549834230116436,0.08705357142857142,0.07589285714285714
8,1.0,2.0,0.05264141517026084,0.09375,0.09151785714285714
9,1.0,3.0,0.05231526866555214,0.06919642857142858,0.04017857142857143
10,1.0,4.0,0.05231881407754762,0.049107142857142856,0.05133928571428571
11,1.0,g,0.05249092526532508,0.060388513513513514,0.0669642835855484
12,2.0,0.0,0.051285232816423686,0.05580357142857143,0.09375
13,2.0,1.0,0.05134005578500884,0.109375,0.06473214285714286
14,2.0,2.0,0.05171621697289603,0.09375,0.08482142857142858
15,2.0,3.0,0.051122130560023446,0.11830357142857142,0.07366071428571429
16,2.0,4.0,0.051171675856624334,0.06473214285714286,0.07366071428571429
17,2.0,g,0.05128726322908659,0.06883445945945946,0.078125
18,3.0,0.0,0.04978496528097561,0.06696428571428571,0.09598214285714286
19,3.0,1.0,0.049685231276920865,0.14732142857142858,0.11160714285714286
20,3.0,2.0,0.05029191502502987,0.10044642857142858,0.11607142857142858
21,3.0,3.0,0.04920081155640738,0.16964285714285715,0.12053571428571429
22,3.0,4.0,0.04937896451779774,0.12276785714285714,0.125
23,3.0,g,0.049326042468483385,0.11782094594594594,0.1138392835855484
24,4.0,0.0,0.04689897809709821,0.14732142857142858,0.18080357142857142
25,4.0,1.0,0.0470270998775959,0.19196428571428573,0.20982142857142858
26,4.0,2.0,0.04735300477061953,0.17857142857142858,0.20535714285714285
27,4.0,3.0,0.04627378710678646,0.28348214285714285,0.22991071428571427
28,4.0,4.0,0.0462582175220762,0.20089285714285715,0.19866071428571427
29,4.0,g,0.04624726059469017,0.24282094594594594,0.20491071045398712
30,5.0,0.0,0.04255183200751032,0.21875,0.33035714285714285
31,5.0,1.0,0.04281096692596163,0.26785714285714285,0.3482142857142857
32,5.0,2.0,0.04308524781039783,0.24553571428571427,0.36160714285714285
33,5.0,3.0,0.04190265653388841,0.34151785714285715,0.38169642857142855
34,5.0,4.0,0.04185095642294202,0.30580357142857145,0.34151785714285715
35,5.0,g,0.041804445857131806,0.3441722972972973,0.3526785969734192
36,6.0,0.0,0.03756105580500194,0.3125,0.40848214285714285
37,6.0,1.0,0.038120626871074946,0.3549107142857143,0.44419642857142855
38,6.0,2.0,0.03817136585712433,0.3169642857142857,0.45982142857142855
39,6.0,3.0,0.03690320625901222,0.4017857142857143,0.4486607142857143
40,6.0,4.0,0.036942265395607264,0.3638392857142857,0.41294642857142855
41,6.0,g,0.036710066771185074,0.4231418918918919,0.4348214268684387
42,7.0,0.0,0.032621758590851514,0.4107142857142857,0.5022321428571429
43,7.0,1.0,0.03337278190468039,0.4330357142857143,0.5513392857142857
44,7.0,2.0,0.03323294648102352,0.4017857142857143,0.5267857142857143
45,7.0,3.0,0.032027823850512505,0.453125,0.5334821428571429
46,7.0,4.0,0.031807818583079746,0.4419642857142857,0.4888392857142857
47,7.0,g,0.031607859692460785,0.48986486486486486,0.5205357074737549
48,8.0,0.0,0.028281477945191518,0.48660714285714285,0.6183035714285714
49,8.0,1.0,0.029318306328994886,0.48214285714285715,0.6026785714285714
50,8.0,2.0,0.028817046965871538,0.45535714285714285,0.6116071428571429
51,8.0,3.0,0.027721426050577844,0.5133928571428571,0.6160714285714286
52,8.0,4.0,0.027403883902089938,0.5223214285714286,0.6049107142857143
53,8.0,g,0.027143589850213076,0.549831081081081,0.610714316368103
54,9.0,0.0,0.025062134489417076,0.5446428571428571,0.7053571428571429
55,9.0,1.0,0.02614187156515462,0.5066964285714286,0.7098214285714286
56,9.0,2.0,0.02550374051289899,0.5133928571428571,0.7075892857142857
57,9.0,3.0,0.02451725091253008,0.5535714285714286,0.7008928571428571
58,9.0,4.0,0.024228918765272413,0.5870535714285714,0.6607142857142857
59,9.0,g,0.023753915435156307,0.6021959459459459,0.6968749761581421
60,10.0,0.0,0.022715581580996513,0.5602678571428571,0.7700892857142857
61,10.0,1.0,0.023950039808239256,0.5334821428571429,0.7477678571428571
62,10.0,2.0,0.02305492545877184,0.5446428571428571,0.7321428571428571
63,10.0,3.0,0.022146004119089673,0.5736607142857143,0.7901785714285714
64,10.0,4.0,0.021842056087085178,0.6116071428571429,0.7165178571428571
65,10.0,g,0.021346161192333377,0.6233108108108109,0.751339316368103
66,11.0,0.0,0.020933564752340317,0.59375,0.7924107142857143
67,11.0,1.0,0.022341454135520116,0.5647321428571429,0.7700892857142857
68,11.0,2.0,0.02141908529613699,0.5691964285714286,0.7879464285714286
69,11.0,3.0,0.0204175737287317,0.5848214285714286,0.8058035714285714
70,11.0,4.0,0.020069623632090434,0.6316964285714286,0.7633928571428571
71,11.0,g,0.0196251196635736,0.6393581081081081,0.7839285731315613
72,12.0,0.0,0.019677730809365,0.5959821428571429,0.8191964285714286
73,12.0,1.0,0.021234564217073575,0.5736607142857143,0.7946428571428571
74,12.0,2.0,0.0201248505285808,0.5915178571428571,0.8191964285714286
75,12.0,3.0,0.019261440528290614,0.59375,0.84375
76,12.0,4.0,0.01883604297680514,0.6361607142857143,0.8169642857142857
77,12.0,g,0.01839753129595035,0.6444256756756757,0.8187500238418579
78,13.0,0.0,0.018729390310389653,0.6183035714285714,0.8303571428571429
