,epoch,participant,test_loss,test_accuracy,train_accuracy
0,0.0,g,0.053167194631454105,0.03800675675675676,0.0
1,0.0,0.0,0.053111928914274485,0.05580357142857143,0.0
2,0.0,1.0,0.05319267564586231,0.044642857142857144,0.0
3,0.0,2.0,0.053159818585429876,0.03794642857142857,0.0
4,0.0,3.0,0.053180107048579624,0.03571428571428571,0.0
5,0.0,4.0,0.053199474300657,0.020089285714285716,0.0
6,1.0,0.0,0.052349548254694254,0.05580357142857143,0.07589285714285714
7,1.0,1.0,0.052549834230116436,0.08705357142857142,0.07589285714285714
8,1.0,2.0,0.05264141517026084,0.09375,0.09151785714285714
9,1.0,3.0,0.05231526866555214,0.06919642857142858,0.04017857142857143
10,1.0,4.0,0.05231881407754762,0.049107142857142856,0.05133928571428571
11,1.0,g,0.05234877674563511,0.0629222972972973,0.0669642835855484
12,2.0,0.0,0.05120302736759186,0.05580357142857143,0.09375
13,2.0,1.0,0.051382227667740414,0.14732142857142858,0.10044642857142858
14,2.0,2.0,0.05170229556305068,0.10491071428571429,0.11160714285714286
15,2.0,3.0,0.05087484525782721,0.13839285714285715,0.10267857142857142
16,2.0,4.0,0.050955843180418015,0.08482142857142858,0.08928571428571429
17,2.0,g,0.05092345248605754,0.0945945945945946,0.09955357015132904
18,3.0,0.0,0.04937843286565372,0.07366071428571429,0.10044642857142858
19,3.0,1.0,0.04973313957452774,0.1875,0.17633928571428573
20,3.0,2.0,0.049899279539074214,0.14508928571428573,0.17857142857142858
21,3.0,3.0,0.04866087968860354,0.22991071428571427,0.171875
22,3.0,4.0,0.048782143741846085,0.15625,0.16071428571428573
23,3.0,g,0.04866550550670237,0.21114864864864866,0.15758928656578064
24,4.0,0.0,0.04610583771552358,0.19419642857142858,0.2544642857142857
25,4.0,1.0,0.046505141471113474,0.234375,0.34375
26,4.0,2.0,0.04623015384588923,0.19196428571428573,0.328125
27,4.0,3.0,0.04528345859476498,0.31919642857142855,0.31473214285714285
28,4.0,4.0,0.045019574995551793,0.2544642857142857,0.3013392857142857
29,4.0,g,0.0449782319971033,0.29180743243243246,0.3084821105003357
30,5.0,0.0,0.04132441324847085,0.2611607142857143,0.3392857142857143
31,5.0,1.0,0.04168016729610307,0.28794642857142855,0.4330357142857143
32,5.0,2.0,0.04152789020112583,0.27901785714285715,0.40625
33,5.0,3.0,0.0403753753219332,0.38169642857142855,0.4263392857142857
34,5.0,4.0,0.040111269269670756,0.3236607142857143,0.38839285714285715
35,5.0,g,0.03994322245990908,0.3703547297297297,0.39866071939468384
36,6.0,0.0,0.03577046628509249,0.359375,0.42410714285714285
37,6.0,1.0,0.03645905799099377,0.3861607142857143,0.5111607142857143
38,6.0,2.0,0.0363873408309051,0.34151785714285715,0.5044642857142857
39,6.0,3.0,0.035020330654723306,0.4174107142857143,0.5133928571428571
40,6.0,4.0,0.034779347479343414,0.4107142857142857,0.4732142857142857
41,6.0,g,0.034394274289543565,0.44636824324324326,0.48526787757873535
42,7.0,0.0,0.03083666759942259,0.47098214285714285,0.5178571428571429
43,7.0,1.0,0.03188474290072918,0.45089285714285715,0.5982142857142857
44,7.0,2.0,0.03133688255080155,0.4375,0.609375
45,7.0,3.0,0.030153478362730572,0.4799107142857143,0.6004464285714286
46,7.0,4.0,0.029798656702041626,0.49107142857142855,0.5736607142857143
47,7.0,g,0.02931775223161723,0.5240709459459459,0.5799106955528259
48,8.0,0.0,0.026752978031124388,0.5267857142857143,0.6540178571428571
49,8.0,1.0,0.02791199354188783,0.5178571428571429,0.6875
50,8.0,2.0,0.027238843696457998,0.4888392857142857,0.7008928571428571
51,8.0,3.0,0.026246397622994015,0.5401785714285714,0.6897321428571429
52,8.0,4.0,0.025931305651153837,0.5424107142857143,0.6495535714285714
53,8.0,g,0.025297134007151063,0.582347972972973,0.6763392686843872
54,9.0,0.0,0.024283718583839282,0.5491071428571429,0.6919642857142857
55,9.0,1.0,0.024980262187974795,0.5379464285714286,0.7566964285714286
56,9.0,2.0,0.024156634828874042,0.5290178571428571,0.75
57,9.0,3.0,0.023328202111380442,0.5625,0.7611607142857143
58,9.0,4.0,0.022844860862408365,0.5825892857142857,0.7120535714285714
59,9.0,g,0.022256889456027263,0.6152871621621622,0.734375
60,10.0,0.0,0.02205603782619749,0.5625,0.7276785714285714
61,10.0,1.0,0.022934373202068464,0.5580357142857143,0.7834821428571429
62,10.0,2.0,0.02215224185160228,0.5513392857142857,0.8058035714285714
63,10.0,3.0,0.02111090879355158,0.5803571428571429,0.7991071428571429
64,10.0,4.0,0.020835327250616893,0.5892857142857143,0.7723214285714286
65,10.0,g,0.020268200720484193,0.627956081081081,0.7776785492897034
66,11.0,0.0,0.019799912880573953,0.6049107142857143,0.7611607142857143
67,11.0,1.0,0.02176179683634213,0.5803571428571429,0.8080357142857143
68,11.0,2.0,0.020448496033038412,0.5803571428571429,0.8325892857142857
69,11.0,3.0,0.019676836473601206,0.5959821428571429,0.8504464285714286
70,11.0,4.0,0.01948513463139534,0.6071428571428571,0.7678571428571429
71,11.0,g,0.018816598388995673,0.6317567567567568,0.8040178418159485
72,12.0,0.0,0.018875349978251115,0.609375,0.8035714285714286
73,12.0,1.0,0.020385791148458208,0.6026785714285714,0.8482142857142857
74,12.0,2.0,0.019622328824230602,0.59375,0.8504464285714286
75,12.0,3.0,0.018684215311493193,0.6071428571428571,0.890625
76,12.0,4.0,0.01796233228274754,0.6227678571428571,0.8303571428571429
77,12.0,g,0.01755419446507821,0.6566722972972973,0.8446428179740906
78,13.0,0.0,0.01829974047307457,0.6183035714285714,0.828125
79,13.0,1.0,0.019890442756669863,0.5959821428571429,0.8727678571428571
