,epoch,participant,test_loss,test_accuracy,train_accuracy
0,0.0,g,0.053167194631454105,0.03800675675675676,0.0
1,0.0,0.0,0.053111928914274485,0.05580357142857143,0.0
2,0.0,1.0,0.05319267564586231,0.044642857142857144,0.0
3,0.0,2.0,0.053159818585429876,0.03794642857142857,0.0
4,0.0,3.0,0.053180107048579624,0.03571428571428571,0.0
5,0.0,4.0,0.053199474300657,0.020089285714285716,0.0
6,1.0,0.0,0.052349548254694254,0.05580357142857143,0.07589285714285714
7,1.0,1.0,0.052549834230116436,0.08705357142857142,0.07589285714285714
8,1.0,2.0,0.05264141517026084,0.09375,0.09151785714285714
9,1.0,3.0,0.05231526866555214,0.06919642857142858,0.04017857142857143
10,1.0,4.0,0.05231881407754762,0.049107142857142856,0.05133928571428571
11,1.0,g,0.05234877674563511,0.0629222972972973,0.0669642835855484
12,2.0,0.0,0.05120302736759186,0.05580357142857143,0.09375
13,2.0,1.0,0.051382227667740414,0.14732142857142858,0.10044642857142858
14,2.0,2.0,0.05170229556305068,0.10491071428571429,0.11160714285714286
15,2.0,3.0,0.05087484525782721,0.13839285714285715,0.10267857142857142
16,2.0,4.0,0.050955843180418015,0.08482142857142858,0.08928571428571429
17,2.0,g,0.05092345248605754,0.0945945945945946,0.09955357015132904
18,3.0,0.0,0.04937843286565372,0.07366071428571429,0.10044642857142858
19,3.0,1.0,0.04973313957452774,0.1875,0.17633928571428573
20,3.0,2.0,0.049899279539074214,0.14508928571428573,0.17857142857142858
21,3.0,3.0,0.04866087968860354,0.22991071428571427,0.171875
22,3.0,4.0,0.048782143741846085,0.15625,0.16071428571428573
23,3.0,g,0.04866550550670237,0.21114864864864866,0.15758928656578064
24,4.0,0.0,0.04610583771552358,0.19419642857142858,0.2544642857142857
25,4.0,1.0,0.046505141471113474,0.234375,0.34375
26,4.0,2.0,0.04623015384588923,0.19196428571428573,0.328125
27,4.0,3.0,0.04528345859476498,0.31919642857142855,0.31473214285714285
28,4.0,4.0,0.045019574995551793,0.2544642857142857,0.3013392857142857
29,4.0,g,0.044905431266572024,0.30489864864864863,0.3084821105003357
30,5.0,0.0,0.041317615658044815,0.25892857142857145,0.328125
31,5.0,1.0,0.04156719786780221,0.2924107142857143,0.4486607142857143
32,5.0,2.0,0.04147103588495936,0.27232142857142855,0.4107142857142857
33,5.0,3.0,0.04028635312403951,0.37723214285714285,0.42857142857142855
34,5.0,4.0,0.040050344807761054,0.3325892857142857,0.39955357142857145
35,5.0,g,0.03981098542745049,0.36739864864864863,0.40312498807907104
36,6.0,0.0,0.03590351502810206,0.36160714285714285,0.40401785714285715
37,6.0,1.0,0.03624836142574038,0.3861607142857143,0.5223214285714286
38,6.0,2.0,0.03618895262479782,0.3482142857142857,0.5245535714285714
39,6.0,3.0,0.03493641636201313,0.421875,0.5111607142857143
40,6.0,4.0,0.03459804079362324,0.41517857142857145,0.48214285714285715
41,6.0,g,0.03423672068763424,0.4552364864864865,0.4888392388820648
42,7.0,0.0,0.031001234959278787,0.46651785714285715,0.46875
43,7.0,1.0,0.03168643798146929,0.4575892857142857,0.6071428571428571
44,7.0,2.0,0.031182904062526568,0.43973214285714285,0.6272321428571429
45,7.0,3.0,0.030045163684657643,0.48214285714285715,0.6205357142857143
46,7.0,4.0,0.029656805098056793,0.4955357142857143,0.5959821428571429
47,7.0,g,0.029257152984673913,0.5228040540540541,0.5839285850524902
48,8.0,0.0,0.026610201756869043,0.5245535714285714,0.6049107142857143
49,8.0,1.0,0.028049250532473837,0.5223214285714286,0.7053571428571429
50,8.0,2.0,0.027237918227910995,0.4799107142857143,0.71875
51,8.0,3.0,0.02612029734466757,0.5334821428571429,0.7008928571428571
52,8.0,4.0,0.026025458372064998,0.5379464285714286,0.6339285714285714
53,8.0,g,0.025210025946836214,0.5768581081081081,0.6727678775787354
54,9.0,0.0,0.02372929294194494,0.5558035714285714,0.6897321428571429
55,9.0,1.0,0.025232752252902304,0.5424107142857143,0.7723214285714286
56,9.0,2.0,0.024117060005664825,0.5401785714285714,0.7477678571428571
57,9.0,3.0,0.023421515843697956,0.546875,0.7767857142857143
58,9.0,4.0,0.022951902821660042,0.5825892857142857,0.6651785714285714
59,9.0,g,0.02228849205012257,0.6165540540540541,0.7303571701049805
60,10.0,0.0,0.021654693675892695,0.5714285714285714,0.7477678571428571
61,10.0,1.0,0.023095244807856425,0.5647321428571429,0.8035714285714286
62,10.0,2.0,0.022056047937699726,0.5625,0.8147321428571429
63,10.0,3.0,0.021221448002117022,0.5736607142857143,0.8325892857142857
64,10.0,4.0,0.020716848384056772,0.5982142857142857,0.6919642857142857
65,10.0,g,0.02022521152488283,0.6283783783783784,0.778124988079071
66,11.0,0.0,0.02052451137985502,0.5803571428571429,0.7455357142857143
67,11.0,1.0,0.021518776459353312,0.5892857142857143,0.8236607142857143
68,11.0,2.0,0.020576593599149158,0.5803571428571429,0.8683035714285714
69,11.0,3.0,0.019773975812963078,0.5892857142857143,0.8571428571428571
70,11.0,4.0,0.018974836383547102,0.6138392857142857,0.7455357142857143
71,11.0,g,0.018668840588951432,0.644847972972973,0.808035671710968
72,12.0,0.0,0.019150284251996448,0.6071428571428571,0.7589285714285714
73,12.0,1.0,0.02059976463871343,0.59375,0.8660714285714286
74,12.0,2.0,0.01955286120729787,0.59375,0.8883928571428571
75,12.0,3.0,0.018546955659985542,0.6227678571428571,0.9151785714285714
76,12.0,4.0,0.01801210774907044,0.6160714285714286,0.8013392857142857
77,12.0,g,0.01755109736444177,0.6558277027027027,0.8459821939468384
78,13.0,0.0,0.018123265888009752,0.6339285714285714,0.7633928571428571
79,13.0,1.0,0.019884595913546427,0.6049107142857143,0.8861607142857143
